type,contextAware,rate_in_list,distance,duration,weather,rating,gender,age,mood,accepted
29,1,1,3182,399,0,3.2,1,27,6,0
0,1,2,1978,307,1,4.4,1,27,6,0
0,1,3,976,154,1,5,1,27,6,0
0,1,4,1955,300,1,4,1,27,6,0
30,0,0,410,91,1,4.5,0,27,4,1
30,0,0,2261,501,1,3.3,0,28,2,1
0,1,3,1239,255,0,3.3,0,37,4,1
0,1,0,1098,248,0,4.1,0,37,4,0
0,1,1,2830,589,0,2,0,37,4,0
0,1,2,1238,255,0,3,0,37,4,0
32,1,6,1593,370,1,4.1,0,18,0,1
14,1,0,374,103,1,4.1,0,18,0,0
0,1,1,2141,254,1,4,0,18,0,0
0,1,2,846,234,1,1,0,18,0,0
0,1,3,1068,301,0,4,0,18,0,0
0,1,4,1029,259,1,4.1,0,18,0,0
0,1,5,1587,369,1,4.1,0,18,0,0
32,0,0,2947,335,1,4.1,1,18,4,1
29,0,0,6312,575,1,3.3,0,16,0,1
0,1,5,2062,435,1,4.1,0,47,2,1
0,1,0,3963,633,1,3.9,0,47,2,0
0,1,1,2454,463,1,4.1,0,47,2,0
0,1,2,959,226,1,5,0,47,2,0
0,1,3,9201,1312,1,4.1,0,47,2,0
29,1,4,2207,455,1,4,0,47,2,0
0,1,6,957,165,0,5,0,17,4,1
0,1,0,1709,360,1,3.6,0,17,4,0
0,1,1,87,21,1,4.1,0,17,1,0
0,1,2,172,62,1,2.5,0,17,0,0
30,1,3,689,123,1,4.2,0,17,0,0
0,1,4,3022,476,1,4,0,17,4,0
0,1,5,2823,437,1,4.1,0,17,1,0
0,1,5,945,201,1,4.1,0,16,2,1
0,1,0,1316,225,1,4.5,0,16,5,0
30,1,1,1428,273,1,3.5,0,16,3,0
0,1,2,614,143,1,4.1,0,16,4,0
0,1,3,610,142,1,4.1,0,16,4,0
0,1,4,805,177,1,5,0,16,6,0
0,1,3,1546,284,1,5,1,19,6,1
0,1,0,259,83,1,5,1,19,2,0
30,1,1,713,168,1,5,1,19,2,0
0,1,2,392,103,1,4.1,1,19,2,0
19,0,0,1826,353,1,5,0,16,2,1
0,1,6,2961,354,1,3,1,22,2,1
0,1,0,1316,214,1,5,1,22,2,0
0,1,1,684,85,1,4,1,22,2,0
0,1,2,677,96,0,4.1,1,22,2,0
0,1,3,706,90,1,3.8,1,22,2,0
0,1,4,836,102,1,5,1,22,2,0
0,1,5,1189,144,1,4,1,22,2,0
30,0,0,1605,208,1,5,0,34,3,1
18,0,1,2464,411,1,4.5,0,29,5,1
29,0,0,462,100,1,4,0,29,4,0
30,0,0,568,132,1,4.3,0,18,6,1
8,0,0,1137,298,1,5,0,18,6,1
32,0,0,365,90,1,4.1,1,18,6,1
30,0,0,2403,436,0,5,0,15,1,1
29,0,0,7038,932,1,3.6,0,42,1,1
30,0,0,734,126,0,3.7,0,20,6,1
0,1,4,1623,280,1,5,1,18,3,1
0,1,0,2174,203,1,4.1,1,18,3,0
0,1,1,1588,153,1,5,1,18,2,0
0,1,2,1118,100,1,4.1,1,18,2,0
0,1,3,2581,250,1,4.8,1,18,6,0
0,1,4,1606,282,1,4.1,0,32,4,1
18,1,0,1817,341,1,4.5,0,32,4,0
0,1,1,1536,272,1,4.5,0,32,4,0
0,1,2,1552,274,1,4.1,0,32,4,0
32,1,3,1588,279,1,5,0,32,4,0
32,1,5,5879,929,1,4.1,0,35,6,1
29,1,0,4777,808,1,4.5,0,35,6,0
0,1,1,5607,896,1,4,0,35,6,0
29,1,2,5803,951,1,4.1,0,35,6,0
29,1,3,5483,906,1,4.1,0,35,6,0
0,1,4,4694,775,1,4.1,0,35,6,0
30,0,0,1247,165,1,3.3,0,29,0,1
14,1,6,1598,190,1,4,0,27,6,1
30,1,0,1179,193,1,3,0,27,0,0
0,1,1,773,161,1,5,0,27,2,0
30,1,2,1174,200,1,4.1,0,27,4,0
32,1,3,1418,233,1,4.1,0,27,3,0
